Country,Year,Forecast,LastActual,Deviation
Afghanistan,2015,1300.0,6360.0,-5060.0
Afghanistan,2016,1300.0,7200.0,-5900.0
Afghanistan,2017,1300.0,8050.0,-6750.0
Afghanistan,2018,1300.0,9000.0,-7700.0
Albania,2014,3635.0,12672.0,-9037.0
Albania,2015,3635.0,12704.0,-9069.0
Albania,2017,3635.0,12610.0,-8975.0
Albania,2018,3635.0,12993.0,-9358.0
Algeria,2017,140342.01961390153,1859.0,138483.01961390153
Algeria,2018,141919.55962770685,2485.0,139434.55962770685
American Samoa,2013,851.0,6129.0,-5278.0
Antigua and Barbuda,2013,1723.0,5961.0,-4238.0
Antigua and Barbuda,2014,1723.0,4616.0,-2893.0
Armenia,2014,2026.0,15799.0,-13773.0
Armenia,2015,2026.0,18720.0,-16694.0
Armenia,2016,2026.0,23270.0,-21244.0
Armenia,2017,2026.0,20139.0,-18113.0
Armenia,2018,2026.0,17054.0,-15028.0
BES,2015,0.0,222.0,-222.0
BES,2016,0.0,253.0,-253.0
BES,2017,0.0,313.0,-313.0
BES,2018,0.0,373.0,-373.0
BLM,2011,0.0,100.0,-100.0
BLM,2012,0.0,100.0,-100.0
BLM,2013,0.0,100.0,-100.0
BLM,2014,0.0,100.0,-100.0
BLM,2015,0.0,100.0,-100.0
BLM,2016,0.0,100.0,-100.0
BLM,2017,0.0,100.0,-100.0
BLM,2018,0.0,100.0,-100.0
Bahrain,2013,11730.0,27091.0,-15361.0
Belize,2011,106829.94532221743,407256.0,-300426.0546777826
Benin,2014,32324.0,43083.0,-10759.0
Benin,2015,32324.0,49008.0,-16684.0
Benin,2017,32324.0,49806.0,-17482.0
Benin,2018,32324.0,48203.0,-15879.0
Bhutan,2016,38.85176030510358,156.0,-117.14823969489642
Bhutan,2017,36.280710349693614,197.0,-160.7192896503064
Bhutan,2018,33.70974449842334,238.0,-204.29025550157667
Bolivia (Plurinat.State),2017,6511.0,10250.0,-3739.0
Bolivia (Plurinat.State),2018,6511.0,10500.0,-3989.0
Bosnia and Herzegovina,2011,255.0,7925.0,-7670.0
British Indian Ocean Ter,2011,0.0,40.0,-40.0
British Indian Ocean Ter,2012,0.0,33.0,-33.0
British Virgin Islands,2011,43.0,1201.0,-1158.0
British Virgin Islands,2012,43.0,1200.0,-1157.0
British Virgin Islands,2013,43.0,1196.0,-1153.0
British Virgin Islands,2014,43.0,1203.0,-1160.0
British Virgin Islands,2015,43.0,1205.0,-1162.0
British Virgin Islands,2016,43.0,1200.0,-1157.0
British Virgin Islands,2017,43.0,1192.0,-1149.0
British Virgin Islands,2018,43.0,1193.0,-1150.0
Brunei Darussalam,2017,2600.0,13329.0,-10729.0
Brunei Darussalam,2018,2600.0,13496.0,-10896.0
Burkina Faso,2017,9893.872296480497,22210.0,-12316.127703519503
Burkina Faso,2018,9983.4868090832,25720.0,-15736.5131909168
CUW,2014,0.0,26139.0,-26139.0
CUW,2015,0.0,28494.0,-28494.0
CUW,2016,0.0,30159.0,-30159.0
CUW,2017,0.0,35534.0,-35534.0
CUW,2018,0.0,32626.0,-32626.0
Cameroon,2018,143544.42803662634,269043.0,-125498.57196337366
Cape Verde,2014,10586.0,35984.0,-25398.0
Cape Verde,2015,10586.0,35677.0,-25091.0
Cape Verde,2016,10586.0,37744.0,-27158.0
Central African Republic,2011,15120.0,35170.0,-20050.0
Central African Republic,2012,15120.0,35170.0,-20050.0
Central African Republic,2013,15120.0,32182.0,-17062.0
Chad,2014,77056.93406474183,120060.0,-43003.06593525817
Chad,2015,77057.2546645375,120080.0,-43022.7453354625
Comoros,2011,12003.0,63447.0,-51444.0
Comoros,2012,12003.0,38180.0,-26177.0
Comoros,2014,12003.0,43732.0,-31729.0
"Congo, Republic of",2013,46024.0,81152.0,-35128.0
"Congo, Republic of",2017,46024.0,86925.0,-40901.0
"Congo, Republic of",2018,46024.0,95162.0,-49138.0
Cook Islands,2011,1025.0,10041.0,-9016.0
Cook Islands,2012,1025.0,6690.0,-5665.0
Cook Islands,2013,1025.0,8314.0,-7289.0
Croatia,2014,27943.0,87770.0,-59827.0
Cyprus,2011,70223.0,5493.0,64730.0
Cyprus,2012,70223.0,5805.0,64418.0
Cyprus,2013,70223.0,5606.0,64617.0
Cyprus,2014,70223.0,6400.0,63823.0
Cyprus,2015,70223.0,6004.0,64219.0
Cyprus,2016,70223.0,6887.0,63336.0
Cyprus,2017,70223.0,8053.0,62170.0
Cyprus,2018,70223.0,8987.0,61236.0
Denmark,2013,1577698.0,504572.0,1073126.0
Ecuador,2017,657800.0,1166417.0,-508617.0
El Salvador,2012,9851.0,58398.0,-48547.0
