Country,Val_MAE,Val_RMSE,Test_MAE,Test_RMSE
Afghanistan,540.0,826.1356,5568.75,5900.2553
Albania,2706.1,3117.7729,8419.5,8673.1149
Algeria,16664.1419,19480.6014,58338.1951,74223.8317
American Samoa,4193.1,4314.1749,2949.25,3150.0727
Andorra,0.0,0.0,0.0,0.0
Angola,27307.2773,35197.8768,102316.0269,113126.5509
Anguilla,61.7418,76.3586,158.7201,188.3986
Antigua and Barbuda,898.2,1005.4227,1959.875,2194.2943
Argentina,63615.6,94802.4082,114325.0,121617.0831
Armenia,1754.5,2263.8392,14118.625,14974.0437
Aruba,4.9,7.7136,14.125,15.1038
Australia,26882.5,32228.6309,35267.875,38178.0361
Austria,530.7414,551.166,646.169,1010.1944
Azerbaijan,9065.1186,9531.5022,13201.1671,13204.775
BES,0.0,0.0,210.875,231.8547
BLM,40.0,63.2456,100.0,100.0
Bahamas,1225.5,1758.5242,3055.625,3412.4715
Bahrain,2181.5,2609.2818,4703.25,6220.6314
Bangladesh,362719.1662,434963.773,1212609.7984,1239980.6368
Barbados,640.6,733.4655,1288.25,1372.6454
Belarus,4308.1,5652.4002,5878.25,6427.1738
Belgium,4987.6995,5712.5433,5072.5581,5299.9632
Belize,133546.0629,176151.3926,61147.5541,86393.7676
Benin,6588.1,7078.7166,12882.0,14152.4685
Bermuda,51.7482,57.5782,93.8979,106.1638
Bhutan,3.711,4.2662,95.7154,120.2844
Bolivia (Plurinat.State),574.8,796.4548,2487.0,2733.1359
Bosnia and Herzegovina,6302.6,6702.0774,1859.625,2393.9654
Botswana,27.788,33.7778,243.875,400.0154
Brazil,160537.3628,174850.9762,374821.5338,377242.3652
British Indian Ocean Ter,27.5,29.7405,13.125,15.252
British Virgin Islands,1296.0,1387.4056,1154.75,1154.7593
Brunei Darussalam,388.3,467.7825,4630.5,6768.5483
Bulgaria,2392.5,2802.9142,3221.0,3255.4125
Burkina Faso,1474.2399,2221.3307,12283.0877,12661.0922
Burundi,1897.8293,2411.4145,5222.0409,6329.1186
CUW,0.0,0.0,29741.375,30168.3221
Cambodia,106711.5299,116118.8229,331284.0266,340913.2709
Cameroon,20718.2093,25853.9189,90997.2189,94975.8227
Canada,92795.6,111725.3976,111580.125,115664.9591
Cape Verde,6665.2,7877.4847,17677.125,18973.2187
Cayman Islands,0.0,0.0,0.0,0.0
Central African Republic,11015.5,12428.6131,15187.75,15338.1055
Chad,5971.1432,7123.1382,30491.5609,31674.5754
Chile,445772.7,576830.8578,1603970.0,1731820.3522
China,1036748.8372,1111043.2668,2878199.2858,4466189.889
"China, Hong Kong SAR",6393.5,8422.1968,15142.0,18499.0665
"China, Macao SAR",0.0,0.0,0.0,0.0
Colombia,11760.69,14361.644,18095.1813,19850.3549
Comoros,10346.8,19611.0118,11990.5,17080.2846
"Congo, Dem. Rep. of the",6398.4131,7343.6518,7505.1027,9480.5633
"Congo, Republic of",10540.6,11481.7763,35412.0,36896.0342
Cook Islands,2847.4,3662.4226,3835.625,4228.6838
Costa Rica,2282.2,3328.8073,6490.125,7294.1788
Croatia,20455.1,25258.0672,51033.0,51366.5244
Cuba,39362.4,40129.4997,52577.25,53562.4213
Cyprus,42271.2,49469.4381,63154.625,63167.5024
Czech Republic,340.0973,395.5052,3005.7678,7396.8451
Czechoslovakia,0.0,0.0,0.0,0.0
Côte d'Ivoire,25558.1,28084.017,20150.0,21700.0853
Denmark,563932.7,631204.9638,814012.875,823654.7765
Djibouti,175.2549,232.1273,823.5334,849.8012
Dominica,208.0878,230.2598,187.1678,213.0286
Dominican Republic,2532.4292,3295.5103,1406.2739,1863.2116
Ecuador,87590.1,120645.3284,295355.0,319706.3643
Egypt,60217.334,92029.2206,382273.5791,403675.5179
El Salvador,33670.3,35246.0218,49412.625,49529.144
Equatorial Guinea,1128.4,1858.5,3083.5,3128.6478
Eritrea,4068.6015,4897.8879,4381.1924,4534.4538
Estonia,8723.1307,11682.2306,25134.0276,26046.8882
Ethiopia,3508.7,4149.8923,28158.75,30413.8241
Falkland Is.(Malvinas),10566.5,13501.0919,12199.625,13662.613
Faroe Islands,109888.9811,118228.3003,150461.0676,169993.9676
"Fiji, Republic of",3552.1,5086.8241,4708.75,5134.0081
Finland,10848.6413,14077.6251,27294.381,30152.8857
France,170115.5,233594.6439,297264.625,310256.9026
French Guiana,525.0,623.1762,2678.25,2691.6706
French Polynesia,1105.6,1249.5519,644.25,770.6966
French Southern Terr,138.4,163.3034,165.5,167.8064
Gabon,6352.3425,7979.197,10326.0266,10833.9494
Gambia,4112.8043,4742.6047,6562.0599,8218.2282
Georgia,15874.0416,17673.8491,39460.8538,73186.8068
Germany,16830.9933,20191.7462,34620.2916,41894.2671
Ghana,81988.3,90480.265,73297.875,84363.198
Gibraltar,0.0,0.0,0.0,0.0
Greece,7331.5,9004.0863,96830.125,101706.784
Greenland,53534.9,60371.7531,110113.875,114820.6078
Grenada,469.4248,508.0157,758.1766,780.0092
Guadeloupe,2203.0,2488.1328,5332.25,5421.1056
Guam,265.3,285.5743,416.5,431.6243
Guatemala,10425.2,12722.7424,2010.75,2599.1975
Guinea,13559.0738,17195.4025,132084.9543,142098.8406
Guinea-Bissau,244.1462,316.5949,45.0759,72.7486
Guyana,5172.0,5870.1604,7166.125,8103.2011
Haiti,3518.416,4445.9004,9171.1051,9174.8192
Honduras,21786.0649,27045.9918,38050.319,38437.6202
Hungary,1201.8582,1417.3032,5793.9964,8671.055
Iceland,387052.7269,468092.3312,636396.8269,649048.4693
India,382498.6986,538370.8034,1701135.1769,1842215.1156
Indonesia,1466811.9363,2071158.6332,8708856.4788,9567001.4998
Iran (Islamic Rep. of),45590.6746,53849.2036,389653.7629,416669.6658
Iraq,19706.3161,24963.0126,39761.4952,41420.5509
Ireland,38299.5,50431.0191,59379.25,61863.7633
Isle of Man,539.9495,657.0962,2770.5013,3051.8248
Israel,1550.6,2070.6954,4317.0,4660.9098
Italy,83392.6,104805.2135,229338.125,239183.495
Jamaica,9895.7,10237.3716,7541.75,7727.7649
Japan,331508.1207,354834.8673,1276333.3661,1294319.5235
Jordan,58.1119,63.8437,486.8326,547.5568
