Country,Year,OFR_change,Inflation_pct
Afghanistan,2027,0.0,0.0
Afghanistan,2028,0.0,0.0
Afghanistan,2029,0.0,0.0
Afghanistan,2030,0.0,0.0
Afghanistan,2031,0.0,0.0
Albania,2027,1.4957838862265455e-06,7.478919523195994e-07
Albania,2028,3.3913594088894037e-07,1.695679641490013e-07
Albania,2029,5.097853140161591e-08,2.5489255335090306e-08
Albania,2030,1.0822171916824444e-08,5.4110921836057055e-09
Albania,2031,1.7165122406704046e-09,8.582530124240344e-10
Algeria,2027,0.02075852661460928,0.010379263307309847
Algeria,2028,-0.009867342314576168,-0.004933671157286473
Algeria,2029,0.004691771618031611,0.002345885809005031
Algeria,2030,-0.0022305414677611323,-0.0011152707338723427
Algeria,2031,0.0010605076416975285,0.0005302538208450643
American Samoa,2027,0.08810143788801778,0.04405071894399702
American Samoa,2028,0.04765191658129487,0.023825958290644957
American Samoa,2029,0.02578417855852519,0.012892089279258726
American Samoa,2030,0.013954721155186024,0.006977360577601196
American Samoa,2031,0.007553363581741993,0.003776681790884713
Andorra,2027,,0.0
Andorra,2028,,0.0
Andorra,2029,,0.0
Andorra,2030,,0.0
Andorra,2031,,0.0
Angola,2027,3.774573615743873e-05,1.8872868076921152e-05
Angola,2028,1.1856523893290823e-05,5.928261957841377e-06
Angola,2029,3.7243198670889662e-06,1.8621599378542185e-06
Angola,2030,1.1698673088000963e-06,5.849336664929278e-07
Angola,2031,3.6747368669464253e-07,1.8373684128738177e-07
Anguilla,2027,0.17350278694051463,0.08675139347025004
Anguilla,2028,-0.07839410561499091,-0.03919705280750262
Anguilla,2029,-0.037173135652821696,-0.018586567826408405
Anguilla,2030,0.053013246763568854,0.026506623381789385
Anguilla,2031,-0.010024423269088886,-0.005012211634541123
Antigua and Barbuda,2027,0.0,0.0
Antigua and Barbuda,2028,0.0,0.0
Antigua and Barbuda,2029,0.0,0.0
Antigua and Barbuda,2030,0.0,0.0
Antigua and Barbuda,2031,0.0,0.0
Argentina,2027,0.0,0.0
Argentina,2028,0.0,0.0
Argentina,2029,0.0,0.0
Argentina,2030,0.0,0.0
Argentina,2031,0.0,0.0
Armenia,2027,2.692593730835632,1.3462968654178058
Armenia,2028,-2.609153689568496,-1.3045768447842407
Armenia,2029,2.6854568259869844,1.342728412993503
Armenia,2030,-2.6119151193808667,-1.305957559690425
Armenia,2031,2.6834715264856723,1.3417357632428324
Aruba,2027,0.0,0.0
Aruba,2028,0.0,0.0
Aruba,2029,0.0,0.0
Aruba,2030,0.0,0.0
Aruba,2031,0.0,0.0
Australia,2027,-0.13001959883434622,-0.0650097994171744
Australia,2028,0.10084196361473241,0.050420981807358226
Australia,2029,-0.07803168768474265,-0.03901584384237964
Australia,2030,0.06048914644966588,0.03024457322483101
Australia,2031,-0.04682548360502825,-0.023412741802514805
Austria,2027,43.1033076612449,21.55165383062246
Austria,2028,-30.03251713337581,-15.016258566687895
Austria,2029,42.79827753012959,21.399138765064805
Austria,2030,-29.88368356042759,-14.941841780213794
Austria,2031,42.49578380339146,21.24789190169575
Azerbaijan,2027,12.688126039402206,6.344063019701089
Azerbaijan,2028,11.259450158864555,5.629725079432268
Azerbaijan,2029,10.119944458153638,5.059972229076818
Azerbaijan,2030,9.189883391609046,4.594941695804518
Azerbaijan,2031,8.416382294024945,4.208191147012473
BES,2027,0.0,0.0
BES,2028,0.0,0.0
BES,2029,0.0,0.0
BES,2030,0.0,0.0
BES,2031,0.0,0.0
BLM,2027,0.0,0.0
BLM,2028,0.0,0.0
BLM,2029,0.0,0.0
BLM,2030,0.0,0.0
BLM,2031,0.0,0.0
Bahamas,2027,0.008967754348166945,0.004483877174098465
Bahamas,2028,-0.005566540247529809,-0.0027832701237695554
Bahamas,2029,0.003445918536270938,0.001722959268131978
Bahamas,2030,-0.002135399530052121,-0.0010676997650132375
Bahamas,2031,0.0013227620292168446,0.0006613810146015501
Bahrain,2027,0.0,0.0
Bahrain,2028,0.0,0.0
Bahrain,2029,0.0,0.0
Bahrain,2030,0.0,0.0
Bahrain,2031,0.0,0.0
Bangladesh,2027,2.7040559074895105,1.3520279537447575
Bangladesh,2028,2.6324168181598115,1.3162084090799109
Bangladesh,2029,2.564464466560505,1.282232233280266
Bangladesh,2030,2.499921398900874,1.249960699450457
Bangladesh,2031,2.4385373206307714,1.2192686603153844
Barbados,2027,0.0,0.0
Barbados,2028,0.0,0.0
Barbados,2029,0.0,0.0
Barbados,2030,0.0,0.0
Barbados,2031,0.0,0.0
Belarus,2027,0.0,0.0
Belarus,2028,0.0,0.0
Belarus,2029,0.0,0.0
Belarus,2030,0.0,0.0
Belarus,2031,0.0,0.0
Belgium,2027,0.048873547053963504,0.02443677352699499
Belgium,2028,0.03576705993580722,0.017883529967889358
Belgium,2029,0.026178787148320795,0.013089393574164805
Belgium,2030,0.019162732184095994,0.00958136609202868
Belgium,2031,0.014028001428035636,0.007014000714001657
Belize,2027,-6.066652224170312,-3.0333261120851573
Belize,2028,6.376175533341375,3.188087766670679
Belize,2029,-5.9110258249742875,-2.955512912487145
Belize,2030,6.197995490115523,3.098997745057753
Belize,2031,-5.75698353574809,-2.8784917678740496
Benin,2027,-0.002572278658122695,-0.0012861393290545644
Benin,2028,0.0011010431156598833,0.0005505215578236633
Benin,2029,-0.0004712753059194427,-0.0002356376529508534
Benin,2030,0.00020172135219788154,0.0001008606761004728
Benin,2031,-8.634280126333496e-05,-4.317140063723808e-05
Bermuda,2027,-0.0002035208611970426,-0.0001017604305969328
Bermuda,2028,-1.4298641740527361e-05,-7.14932087417739e-06
Bermuda,2029,1.395189556214035e-05,6.975947782273908e-06
Bermuda,2030,3.4116600711549105e-06,1.7058300422087478e-06
Bermuda,2031,-5.611592582454901e-07,-2.8057962466138545e-07
Bhutan,2027,2.4998266108339195,1.2499133054169551
Bhutan,2028,-2.296495315791225,-1.1482476578956113
Bhutan,2029,2.2132691435737115,1.1066345717868529
