Country,Train_MAE,Train_RMSE,Val_MAE,Val_RMSE,Test_MAE,Test_RMSE
Afghanistan,105.55555555555556,247.071739469419,540.0,826.1355820929153,5568.75,5900.255291086988
Albania,2317.6111111111113,3816.3384065532414,2706.1,3117.7729070604228,8419.5,8673.114867220427
Algeria,15228.895040427855,21856.34703120834,16664.14192808732,19480.601401848682,58338.19509602096,74223.83171238675
American Samoa,79.94444444444441,109.70338797563788,4193.1,4314.174903733042,2949.25,3150.072737255443
Andorra,0.0,0.0,0.0,0.0,0.0,0.0
Angola,19315.829466662097,31868.171995720633,27307.277267194888,35197.876821201564,102316.02690749211,113126.55087841464
Anguilla,21.95390037077329,39.681747764430284,61.74183632102621,76.35855027634442,158.72005118927507,188.39860168457102
Antigua and Barbuda,358.94444444444446,471.2618404053337,898.2,1005.4226971776598,1959.875,2194.2943341767077
Argentina,115110.88888888889,153396.0668668601,63615.6,94802.4082310149,114325.0,121617.08312054684
Armenia,851.1111111111111,1882.6762865665462,1754.5,2263.839238992027,14118.625,14974.043746596975
Aruba,83.72222222222223,189.1717326781262,4.900000000000029,7.713624310270774,14.125000000000021,15.10380746699324
Australia,24076.333333333332,45604.20678816569,26882.5,32228.6309374134,35267.875,38178.03605314186
Austria,254.2843944772628,388.87837304163367,530.7413676038362,551.1660451134397,646.1689742971229,1010.1944237532056
Azerbaijan,2031.609485408438,8410.146874068741,9065.118585872702,9531.50217434492,13201.167060118725,13204.775002595035
BES,0.0,0.0,0.0,0.0,210.875,231.85474978960426
BLM,0.0,0.0,40.0,63.245553203367585,100.0,100.0
Bahamas,1532.611111111111,2432.7681649603287,1225.5,1758.5242392415296,3055.625,3412.471483397334
Bahrain,1473.6666666666667,1919.1003679386397,2181.5,2609.2817977366876,4703.25,6220.631378726761
Bangladesh,74708.98614362982,176085.3878813647,362719.166156356,434963.77300356154,1212609.798365771,1239980.6367542092
Barbados,1542.8333333333333,2590.5163256257106,640.6,733.4654729433418,1288.25,1372.6454385601548
Belarus,2337.8333333333335,4907.864488077613,4308.1,5652.400206991717,5878.25,6427.173834587019
Belgium,4074.851434172764,11660.265546925924,4987.699540942863,5712.543267788573,5072.558092922161,5299.963248759093
Belize,3760.1159647221243,6179.175438702678,133546.06290245656,176151.39262759674,61147.554061463015,86393.76755257993
Benin,4861.777777777777,8918.810938435434,6588.1,7078.716642160498,12882.0,14152.468477265724
Bermuda,130.0472860899218,255.58489900700332,51.748156587325525,57.578184754131975,93.89794839039402,106.16384402400311
Bhutan,12.289976091374637,32.41091505739475,3.711026197737914,4.2661637251482345,95.7153684156285,120.28441326864102
Bolivia (Plurinat.State),667.1666666666666,1226.2187814578604,574.8,796.4547695883301,2487.0,2733.135882095876
Bosnia and Herzegovina,14.166666666666668,48.87910255586396,6302.6,6702.0773794399,1859.625,2393.9653558479076
Botswana,181.74658629365337,326.9741207767663,27.788002053358884,33.77784698799221,243.87500000000205,400.01541849085066
Brazil,39235.30940571135,53060.35437912961,160537.3628258798,174850.97618056135,374821.53384665336,377242.3652352873
British Indian Ocean Ter,0.0,0.0,27.5,29.740544715926102,13.125,15.252049042669643
British Virgin Islands,90.27777777777779,150.24184207840074,1296.0,1387.405636430817,1154.75,1154.7592822748818
Brunei Darussalam,873.0,1253.7427522777107,388.3,467.7825349454595,4630.5,6768.548256457953
Bulgaria,16009.388888888889,31940.506900416523,2392.5,2802.9141799206054,3221.0,3255.412493064435
Burkina Faso,315.68714889777226,436.68200179758674,1474.2399200310913,2221.330726291884,12283.087667990838,12661.092211821902
Burundi,3080.8835093806783,4284.890920738975,1897.8292501330066,2411.414526786006,5222.0408631322925,6329.11863501443
CUW,0.0,0.0,0.0,0.0,29741.375,30168.322109043453
Cambodia,18902.824393839808,41564.913457897834,106711.52989388895,116118.82292844825,331284.0265741241,340913.27087549184
Cameroon,7901.347929568337,18984.098761079767,20718.209311448318,25853.918863122963,90997.21887080088,94975.82266078063
