Country,risk_score_5y,risk_score_10y,risk_category,risk_category_pred
Afghanistan,0.432566,0.49961,low,medium
Albania,0.432566,0.49961,low,medium
Algeria,0.432491,0.499592,low,medium
American Samoa,0.432499,0.499709,low,medium
Andorra,0.432566,0.49961,low,medium
Angola,0.432566,0.49961,low,medium
Anguilla,0.431982,0.499456,low,medium
Antigua and Barbuda,0.432566,0.49961,low,medium
Argentina,0.432566,0.49961,low,medium
Armenia,0.444336,0.485553,low,medium
Aruba,0.432566,0.49961,low,medium
Australia,0.432713,0.499769,low,medium
Austria,0.713946,0.56779,high,high
Azerbaijan,0.603043,0.811457,high,high
BES,0.432566,0.49961,low,medium
BLM,0.432566,0.49961,low,medium
Bahamas,0.432541,0.499602,low,medium
Bahrain,0.432566,0.49961,low,medium
Bangladesh,0.483344,0.601987,medium,high
Barbados,0.432566,0.49961,low,medium
Belarus,0.432566,0.49961,low,medium
Belgium,0.432799,0.499929,low,medium
Belize,0.412902,0.540043,low,medium
Benin,0.432576,0.499612,low,medium
Bermuda,0.432567,0.49961,low,medium
Bhutan,0.438818,0.491213,low,medium
Bolivia (Plurinat.State),0.432566,0.49961,low,medium
Bosnia and Herzegovina,0.437026,0.506297,low,medium
Botswana,0.432467,0.499613,low,medium
Brazil,0.449519,0.533015,low,medium
British Indian Ocean Ter,0.432566,0.49961,low,medium
British Virgin Islands,0.432529,0.499663,low,medium
Brunei Darussalam,0.432566,0.49961,low,medium
Bulgaria,0.432566,0.49961,low,medium
Burkina Faso,0.432535,0.499637,low,medium
Burundi,0.433133,0.499854,low,medium
CUW,0.432566,0.49961,low,medium
Cambodia,0.432566,0.49961,low,medium
Cameroon,0.48142,0.598347,medium,medium
Canada,0.432566,0.49961,low,medium
Cape Verde,0.432567,0.49961,low,medium
Cayman Islands,0.432566,0.49961,low,medium
Central African Republic,0.432549,0.499586,low,medium
Chad,0.432565,0.499609,low,medium
Chile,0.432564,0.499508,low,medium
China,0.472368,0.580837,medium,medium
"China, Hong Kong SAR",0.432566,0.49961,low,medium
"China, Macao SAR",0.432566,0.49961,low,medium
Colombia,0.434819,0.496173,low,medium
Comoros,0.4331,0.49973,low,medium
"Congo, Dem. Rep. of the",0.432566,0.49961,low,medium
"Congo, Republic of",0.432566,0.49961,low,medium
Cook Islands,0.432566,0.49961,low,medium
Costa Rica,0.432566,0.49961,low,medium
Croatia,0.432566,0.49961,low,medium
Cuba,0.432566,0.49961,low,medium
Cyprus,0.432566,0.49961,low,medium
Czech Republic,0.432568,0.49961,low,medium
Czechoslovakia,0.432566,0.49961,low,medium
Côte d'Ivoire,0.432566,0.49961,low,medium
Denmark,0.432512,0.499597,low,medium
Djibouti,0.433134,0.500573,low,medium
Dominica,0.432703,0.499637,low,medium
Dominican Republic,0.413457,0.463113,low,medium
Ecuador,0.432566,0.49961,low,medium
Egypt,0.483296,0.601846,medium,medium
El Salvador,0.477314,0.589835,medium,medium
Equatorial Guinea,0.432566,0.49961,low,medium
Eritrea,0.421762,0.497968,low,medium
Estonia,0.431923,0.49873,low,medium
Ethiopia,0.479228,0.590851,medium,medium
Falkland Is.(Malvinas),0.432566,0.49961,low,medium
Faroe Islands,0.432566,0.49961,low,medium
"Fiji, Republic of",0.432566,0.49961,low,medium
Finland,0.432551,0.499606,low,medium
France,0.432566,0.49961,low,medium
French Guiana,0.432566,0.49961,low,medium
French Polynesia,0.432566,0.49961,low,medium
French Southern Terr,0.432566,0.49961,low,medium
Gabon,0.421625,0.479737,low,medium
Gambia,0.432593,0.499616,low,medium
Georgia,0.583081,0.778184,high,high
Germany,0.432566,0.49961,low,medium
Ghana,0.432566,0.49961,low,medium
Gibraltar,0.432566,0.49961,low,medium
Greece,0.432566,0.49961,low,medium
Greenland,0.432566,0.49961,low,medium
Grenada,0.432566,0.49961,low,medium
Guadeloupe,0.432566,0.49961,low,medium
Guam,0.432566,0.49961,low,medium
Guatemala,0.432566,0.49961,low,medium
Guinea,0.460795,0.473148,medium,medium
Guinea-Bissau,0.43286,0.499197,low,medium
Guyana,0.432563,0.499609,low,medium
Haiti,0.440812,0.514594,low,medium
Honduras,0.432565,0.49961,low,medium
Hungary,0.43257,0.499611,low,medium
Iceland,0.432566,0.49961,low,medium
India,0.429196,0.494312,low,medium
Indonesia,0.445538,0.501622,low,medium
Iran (Islamic Rep. of),0.488059,0.610982,medium,high
Iraq,0.43256,0.499609,low,medium
Ireland,0.432566,0.49961,low,medium
Isle of Man,0.432566,0.49961,low,medium
Israel,0.432566,0.49961,low,medium
Italy,0.432566,0.49961,low,medium
Jamaica,0.432566,0.49961,low,medium
Japan,0.432559,0.499607,low,medium
Jordan,0.432566,0.49961,low,medium
Kazakhstan,0.432566,0.49961,low,medium
Kenya,0.432566,0.49961,low,medium
Kiribati,0.432566,0.49961,low,medium
"Korea, Dem. People's Rep",0.432566,0.49961,low,medium
"Korea, Republic of",0.432566,0.49961,low,medium
Kuwait,0.432566,0.49961,low,medium
Kyrgyzstan,0.432566,0.49961,low,medium
